iter	Passed	Remaining
0	144	144033
1	147	73434
2	149	49831
3	151	37817
4	154	30648
5	155	25755
6	156	22217
7	158	19613
8	159	17544
9	160	15919
10	163	14693
11	164	13555
12	165	12583
13	166	11759
14	168	11090
15	170	10501
16	172	9957
17	173	9444
18	174	9010
19	175	8595
20	176	8224
21	177	7886
22	178	7576
23	179	7285
24	180	7024
25	180	6778
26	182	6566
27	183	6387
28	184	6190
29	185	6003
30	186	5828
31	187	5665
32	188	5510
33	188	5363
34	189	5223
35	190	5100
36	192	5001
37	193	4886
38	193	4774
39	194	4666
40	195	4564
41	195	4467
42	196	4383
43	198	4318
44	199	4234
45	200	4155
46	200	4075
47	201	3997
48	202	3925
49	203	3860
50	203	3793
51	204	3735
52	205	3680
53	206	3621
54	207	3564
55	208	3509
56	208	3454
57	209	3400
58	210	3350
59	210	3300
60	211	3255
61	212	3212
62	213	3169
63	214	3134
64	215	3098
65	216	3065
66	217	3026
67	218	2989
68	218	2952
69	219	2916
70	220	2883
71	220	2848
72	221	2814
73	222	2786
74	223	2755
75	224	2729
76	225	2703
77	226	2673
78	226	2644
79	227	2615
80	228	2587
81	228	2561
82	229	2531
83	229	2505
84	230	2482
85	231	2463
86	232	2440
87	233	2417
88	234	2402
89	235	2379
90	235	2357
91	236	2334
92	237	2312
93	237	2291
94	238	2270
95	238	2249
96	239	2230
97	240	2211
98	240	2191
99	241	2172
100	242	2154
101	242	2137
102	243	2120
103	244	2103
104	244	2086
105	245	2069
106	246	2053
107	246	2037
108	247	2022
109	248	2006
110	248	1991
111	249	1977
112	250	1962
113	250	1948
114	251	1934
115	251	1920
116	252	1905
117	253	1892
118	253	1878
119	254	1865
120	255	1853
121	255	1839
122	256	1826
123	256	1814
124	257	1802
125	258	1791
126	258	1778
127	259	1766
128	260	1756
129	260	1744
130	261	1733
131	262	1723
132	262	1712
133	263	1701
134	263	1691
135	264	1681
136	265	1671
137	265	1661
138	266	1651
139	267	1641
140	267	1632
141	268	1621
142	268	1611
143	269	1602
144	270	1593
145	270	1584
146	271	1575
147	272	1567
148	272	1558
149	273	1550
150	274	1542
151	274	1533
152	275	1525
153	276	1517
154	276	1509
155	277	1501
156	278	1495
157	279	1488
158	279	1480
159	280	1473
160	280	1464
161	281	1456
162	282	1449
163	282	1442
164	283	1435
165	284	1428
166	284	1421
167	285	1414
168	286	1407
169	288	1410
170	290	1407
171	291	1401
172	291	1395
173	292	1389
174	293	1383
175	294	1376
176	295	1374
177	296	1369
178	297	1363
179	298	1361
180	299	1354
181	299	1348
182	300	1343
183	301	1337
184	302	1332
185	303	1326
186	304	1322
187	304	1316
188	305	1311
189	306	1307
190	307	1302
191	308	1297
192	308	1291
193	309	1286
194	310	1280
195	310	1274
196	311	1269
197	312	1263
198	312	1259
199	313	1253
200	314	1248
201	314	1243
202	315	1238
203	316	1234
204	317	1230
205	318	1226
206	319	1222
207	319	1217
208	321	1218
209	323	1216
210	324	1213
211	326	1214
212	327	1210
213	328	1207
214	330	1206
215	332	1208
216	333	1204
217	334	1200
218	336	1199
219	347	1232
220	349	1231
221	351	1230
222	352	1226
223	353	1225
224	354	1221
225	355	1218
226	356	1215
227	357	1211
228	358	1208
229	360	1206
230	362	1207
231	364	1206
232	365	1204
233	366	1201
234	368	1200
235	369	1197
236	370	1194
237	372	1191
238	374	1191
239	376	1191
240	377	1190
241	379	1187
242	380	1185
243	381	1182
244	383	1181
245	384	1178
246	385	1176
247	386	1172
248	388	1171
249	389	1168
250	390	1165
251	391	1161
252	392	1158
253	393	1154
254	394	1151
255	395	1148
256	396	1147
257	398	1144
258	399	1141
259	400	1139
260	401	1136
261	402	1134
262	404	1133
263	405	1129
264	407	1129
265	408	1126
266	410	1126
267	411	1123
268	412	1119
269	413	1116
270	413	1113
271	415	1110
272	415	1107
273	416	1104
274	417	1101
275	418	1098
276	419	1095
277	420	1091
278	422	1090
279	422	1087
280	423	1084
281	424	1081
282	425	1078
283	426	1074
284	427	1071
285	428	1068
286	429	1065
287	429	1062
288	430	1059
289	431	1056
290	432	1053
291	433	1051
292	434	1047
293	435	1045
294	436	1043
295	438	1042
296	439	1039
297	440	1038
298	442	1036
299	442	1033
300	443	1030
301	444	1027
302	445	1025
303	446	1022
304	447	1020
305	448	1017
306	449	1015
307	450	1012
308	453	1013
309	457	1018
310	458	1015
311	459	1013
312	460	1010
313	461	1008
314	462	1005
315	463	1002
316	464	1000
317	466	1000
318	467	997
319	468	994
320	469	992
321	470	989
322	470	986
323	471	983
324	471	980
325	472	977
326	473	975
327	474	972
328	475	970
329	476	967
330	478	966
331	479	964
332	479	961
333	480	958
334	481	956
335	482	954
336	483	951
337	484	948
338	485	946
339	486	944
340	487	942
341	488	939
342	489	937
343	490	934
344	490	931
345	491	929
346	492	927
347	493	925
348	495	923
349	495	920
350	496	918
351	497	916
352	498	914
353	499	911
354	500	909
355	501	907
356	502	905
357	503	902
358	504	901
359	505	898
360	506	896
361	507	894
362	508	893
363	510	891
364	510	888
365	511	885
366	512	884
367	513	881
368	514	879
369	515	877
370	516	875
371	517	873
372	518	870
373	519	868
374	520	866
375	520	864
376	521	862
377	522	860
378	524	858
